,Time,Probs
0,-1 days +08:34:17.038971000,0.005813953488372093
1,-1 days +08:54:17.038971000,0.0
2,-1 days +09:14:17.038971000,0.0
3,-1 days +09:34:17.038971000,0.011627906976744186
4,-1 days +09:54:17.038971000,0.0
5,-1 days +10:14:17.038971000,0.0
6,-1 days +10:34:17.038971000,0.0
7,-1 days +10:54:17.038971000,0.0
8,-1 days +11:14:17.038971000,0.0
9,-1 days +11:34:17.038971000,0.0
10,-1 days +11:54:17.038971000,0.0
11,-1 days +12:14:17.038971000,0.0
12,-1 days +12:34:17.038971000,0.0
13,-1 days +12:54:17.038971000,0.0
14,-1 days +13:14:17.038971000,0.011627906976744186
15,-1 days +13:34:17.038971000,0.005813953488372093
16,-1 days +13:54:17.038971000,0.011627906976744186
17,-1 days +14:14:17.038971000,0.005813953488372093
18,-1 days +14:34:17.038971000,0.03488372093023256
19,-1 days +14:54:17.038971000,0.03488372093023256
20,-1 days +15:14:17.038971000,0.029069767441860465
21,-1 days +15:34:17.038971000,0.029069767441860465
22,-1 days +15:54:17.038971000,0.023255813953488372
23,-1 days +16:14:17.038971000,0.01744186046511628
24,-1 days +16:34:17.038971000,0.011627906976744186
25,-1 days +16:54:17.038971000,0.01744186046511628
26,-1 days +17:14:17.038971000,0.005813953488372093
27,-1 days +17:34:17.038971000,0.005813953488372093
28,-1 days +17:54:17.038971000,0.005813953488372093
29,-1 days +18:14:17.038971000,0.005813953488372093
30,-1 days +18:34:17.038971000,0.011627906976744186
31,-1 days +18:54:17.038971000,0.023255813953488372
32,-1 days +19:14:17.038971000,0.01744186046511628
33,-1 days +19:34:17.038971000,0.005813953488372093
34,-1 days +19:54:17.038971000,0.01744186046511628
35,-1 days +20:14:17.038971000,0.023255813953488372
36,-1 days +20:34:17.038971000,0.023255813953488372
37,-1 days +20:54:17.038971000,0.023255813953488372
38,-1 days +21:14:17.038971000,0.01744186046511628
39,-1 days +21:34:17.038971000,0.0
40,-1 days +21:54:17.038971000,0.011627906976744186
41,-1 days +22:14:17.038971000,0.011627906976744186
42,-1 days +22:34:17.038971000,0.005813953488372093
43,-1 days +22:54:17.038971000,0.011627906976744186
44,-1 days +23:14:17.038971000,0.011627906976744186
45,-1 days +23:34:17.038971000,0.01744186046511628
46,-1 days +23:54:17.038971000,0.01744186046511628
47,0 days 00:14:17.038971000,0.005813953488372093
48,0 days 00:34:17.038971000,0.005813953488372093
49,0 days 00:54:17.038971000,0.011627906976744186
50,0 days 01:14:17.038971000,0.011627906976744186
51,0 days 01:34:17.038971000,0.01744186046511628
52,0 days 01:54:17.038971000,0.011627906976744186
53,0 days 02:14:17.038971000,0.005813953488372093
54,0 days 02:34:17.038971000,0.029069767441860465
55,0 days 02:54:17.038971000,0.023255813953488372
56,0 days 03:14:17.038971000,0.023255813953488372
57,0 days 03:34:17.038971000,0.023255813953488372
58,0 days 03:54:17.038971000,0.011627906976744186
59,0 days 04:14:17.038971000,0.040697674418604654
60,0 days 04:34:17.038971000,0.03488372093023256
61,0 days 04:54:17.038971000,0.01744186046511628
62,0 days 05:14:17.038971000,0.011627906976744186
63,0 days 05:34:17.038971000,0.023255813953488372
64,0 days 05:54:17.038971000,0.046511627906976744
65,0 days 06:14:17.038971000,0.023255813953488372
66,0 days 06:34:17.038971000,0.03488372093023256
67,0 days 06:54:17.038971000,0.046511627906976744
68,0 days 07:14:17.038971000,0.01744186046511628
69,0 days 07:34:17.038971000,0.0
70,0 days 07:54:17.038971000,0.0
71,0 days 08:14:17.038971000,0.0
