AL Code,Probs
KQ,0.7029702970297029
ET,0.039603960396039604
PW,0.039603960396039604
WB,0.0297029702970297
TK,0.019801980198019802
QR,0.019801980198019802
SA,0.019801980198019802
EK,0.019801980198019802
SN,0.009900990099009901
KL,0.009900990099009901
TM,0.009900990099009901
MK,0.009900990099009901
SV,0.009900990099009901
MS,0.009900990099009901
BA,0.009900990099009901
LX,0.009900990099009901
CZ,0.009900990099009901
EY,0.009900990099009901
G9,0.009900990099009901
