,Time,Probs
<<<<<<< HEAD
0,-1 days +08:34:17.781015000,0.0
1,-1 days +08:38:17.781015000,0.0
2,-1 days +08:42:17.781015000,0.005649717514124294
3,-1 days +08:46:17.781015000,0.0
4,-1 days +08:50:17.781015000,0.0
5,-1 days +08:54:17.781015000,0.0
6,-1 days +08:58:17.781015000,0.0
7,-1 days +09:02:17.781015000,0.0
8,-1 days +09:06:17.781015000,0.0
9,-1 days +09:10:17.781015000,0.0
10,-1 days +09:14:17.781015000,0.0
11,-1 days +09:18:17.781015000,0.0
12,-1 days +09:22:17.781015000,0.0
13,-1 days +09:26:17.781015000,0.0
14,-1 days +09:30:17.781015000,0.0
15,-1 days +09:34:17.781015000,0.0
16,-1 days +09:38:17.781015000,0.0
17,-1 days +09:42:17.781015000,0.005649717514124294
18,-1 days +09:46:17.781015000,0.005649717514124294
19,-1 days +09:50:17.781015000,0.0
20,-1 days +09:54:17.781015000,0.0
21,-1 days +09:58:17.781015000,0.0
22,-1 days +10:02:17.781015000,0.0
23,-1 days +10:06:17.781015000,0.0
24,-1 days +10:10:17.781015000,0.0
25,-1 days +10:14:17.781015000,0.0
26,-1 days +10:18:17.781015000,0.0
27,-1 days +10:22:17.781015000,0.0
28,-1 days +10:26:17.781015000,0.0
29,-1 days +10:30:17.781015000,0.0
30,-1 days +10:34:17.781015000,0.0
31,-1 days +10:38:17.781015000,0.0
32,-1 days +10:42:17.781015000,0.0
33,-1 days +10:46:17.781015000,0.0
34,-1 days +10:50:17.781015000,0.0
35,-1 days +10:54:17.781015000,0.0
36,-1 days +10:58:17.781015000,0.0
37,-1 days +11:02:17.781015000,0.0
38,-1 days +11:06:17.781015000,0.0
39,-1 days +11:10:17.781015000,0.0
40,-1 days +11:14:17.781015000,0.0
41,-1 days +11:18:17.781015000,0.0
42,-1 days +11:22:17.781015000,0.0
43,-1 days +11:26:17.781015000,0.0
44,-1 days +11:30:17.781015000,0.0
45,-1 days +11:34:17.781015000,0.0
46,-1 days +11:38:17.781015000,0.0
47,-1 days +11:42:17.781015000,0.0
48,-1 days +11:46:17.781015000,0.0
49,-1 days +11:50:17.781015000,0.0
50,-1 days +11:54:17.781015000,0.0
51,-1 days +11:58:17.781015000,0.0
52,-1 days +12:02:17.781015000,0.0
53,-1 days +12:06:17.781015000,0.0
54,-1 days +12:10:17.781015000,0.0
55,-1 days +12:14:17.781015000,0.0
56,-1 days +12:18:17.781015000,0.0
57,-1 days +12:22:17.781015000,0.0
58,-1 days +12:26:17.781015000,0.0
59,-1 days +12:30:17.781015000,0.0
60,-1 days +12:34:17.781015000,0.0
