,Time,Probs
121,0 days 20:10:00.000000000,0.017045454545454544
122,0 days 20:20:00.000000000,0.0
123,0 days 20:30:00.000000000,0.017045454545454544
124,0 days 20:40:00.000000000,0.011363636363636364
125,0 days 20:50:00.000000000,0.0
126,0 days 21:00:00.000000000,0.005681818181818182
127,0 days 21:10:00.000000000,0.017045454545454544
128,0 days 21:20:00.000000000,0.028409090909090908
129,0 days 21:30:00.000000000,0.017045454545454544
130,0 days 21:40:00.000000000,0.011363636363636364
131,0 days 21:50:00.000000000,0.011363636363636364
132,0 days 22:00:00.000000000,0.017045454545454544
133,0 days 22:10:00.000000000,0.017045454545454544
134,0 days 22:20:00.000000000,0.03409090909090909
135,0 days 22:30:00.000000000,0.011363636363636364
136,0 days 22:40:00.000000000,0.011363636363636364
137,0 days 22:50:00.000000000,0.005681818181818182
138,0 days 23:00:00.000000000,0.0
139,0 days 23:10:00.000000000,0.0
140,0 days 23:20:00.000000000,0.0
141,0 days 23:30:00.000000000,0.0
142,0 days 23:40:00.000000000,0.022727272727272728
143,0 days 23:50:00.000000000,0.0
